"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP01 Helsingin vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";29,8;31,0;27,4;23,9;28,7;24,0;30,0;27,3;26,0;21,8;26,4
"PS";6,9;2,8;1,8;0,5;0,1;5,3;2,9;13,0;11,3;12,3;11,3
"SDP";27,1;24,3;21,0;26,8;22,9;24,3;21,3;17,5;15,5;13,6;20,9
"KESK";5,1;2,1;6,0;3,7;6,1;8,1;6,9;4,5;7,2;2,9;1,6
"VIHR";.;9,0;13,8;14,2;17,2;18,4;20,1;16,7;18,8;23,5;15,3
"VAS";13,1;7,9;8,3;8,9;7,3;7,1;6,8;10,4;9,8;11,1;11,8
"RKP";8,0;9,9;10,3;10,0;9,1;7,0;6,0;5,8;6,8;5,3;5,1
"KD";2,4;2,8;2,8;1,9;2,8;3,4;2,5;2,4;1,8;1,9;1,9
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
