"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP06 Hämeen vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";28,3;30,4;26,7;26,6;26,3;21,8;24,7;22,5;21,5;19,2;21,5
"PS";9,7;4,5;3,5;0,6;0,2;0,5;2,2;20,6;19,5;21,0;24,4
"SDP";33,4;30,5;28,0;34,2;28,3;31,9;28,0;24,1;22,1;24,0;23,7
"KESK";11,6;12,1;19,2;14,4;16,8;18,4;20,3;13,2;17,8;10,2;8,6
"VIHR";.;3,7;7,6;5,9;6,3;6,0;6,1;4,5;5,1;8,4;4,7
"VAS";11,9;8,9;8,7;9,4;8,9;8,9;8,3;6,9;6,0;7,4;5,9
"RKP";0,2;0,2;.;.;.;.;.;.;.;0,2;0,3
"KD";3,4;3,9;4,1;4,3;8,8;9,8;7,7;6,8;6,1;5,7;5,5
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
