"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP08 Kaakkois-Suomen vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";.;.;.;.;.;.;.;.;15,9;18,1;22,0
"PS";.;.;.;.;.;.;.;.;21,1;18,9;22,8
"SDP";.;.;.;.;.;.;.;.;22,2;24,4;23,7
"KESK";.;.;.;.;.;.;.;.;25,2;16,6;13,6
"VIHR";.;.;.;.;.;.;.;.;6,4;9,4;5,1
"VAS";.;.;.;.;.;.;.;.;3,0;4,2;3,7
"RKP";.;.;.;.;.;.;.;.;0,3;0,0;0,2
"KD";.;.;.;.;.;.;.;.;4,5;4,4;3,5
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
