"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP13 Lapin vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";12,0;11,9;8,8;9,0;10,0;10,2;11,9;12,5;10,1;11,3;12,2
"PS";4,0;3,9;1,9;0,9;0,5;0,2;1,8;20,5;16,5;17,2;26,8
"SDP";16,9;13,5;14,0;18,9;13,4;14,5;15,1;11,8;10,8;13,5;18,1
"KESK";38,1;37,9;49,8;39,1;42,8;44,8;43,2;32,2;42,9;29,2;24,8
"VIHR";.;2,2;3,5;2,4;1,8;2,1;3,2;3,4;2,6;9,7;3,5
"VAS";15,6;16,2;19,8;25,6;27,1;25,6;23,1;16,7;13,7;14,2;9,9
"RKP";.;.;.;.;0,3;0,2;.;0,4;0,5;0,1;0,3
"KD";0,9;1,2;1,0;1,4;1,3;0,8;1,0;1,6;1,1;1,1;1,1
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
