"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP12 Oulun vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";14,4;14,5;11,1;9,7;11,1;9,6;14,0;11,9;10,9;11,0;15,0
"PS";12,3;6,9;3,3;1,2;1,3;0,7;3,5;20,1;16,2;20,4;25,5
"SDP";16,3;13,0;11,3;16,5;13,0;14,0;12,8;11,0;9,0;10,3;13,8
"KESK";34,7;36,6;46,8;38,8;43,5;46,6;43,1;33,4;42,7;30,3;25,0
"VIHR";.;4,6;5,7;5,7;5,9;6,1;6,2;4,9;6,2;7,9;5,0
"VAS";20,1;16,6;15,6;16,4;16,8;15,3;16,1;14,5;11,8;13,1;9,4
"RKP";.;.;.;.;.;0,2;.;0,2;0,6;0,2;0,2
"KD";2,1;1,6;1,7;1,6;1,8;5,3;3,2;2,8;1,1;2,2;2,8
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
