"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP07 Pirkanmaan vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";27,8;29,9;25,2;20,4;24,1;22,8;25,1;22,3;19,7;18,5;21,5
"PS";8,6;7,1;10,6;1,4;0,6;0,5;4,9;21,1;17,8;17,3;20,2
"SDP";29,5;27,4;25,2;30,5;23,8;25,6;23,8;21,6;19,5;22,1;25,9
"KESK";7,6;6,7;11,4;13,2;14,7;16,6;16,3;10,4;16,6;8,9;7,1
"VIHR";.;4,6;7,5;6,8;7,0;9,7;8,7;8,3;10,3;12,4;7,5
"VAS";19,9;9,3;14,5;14,1;16,0;12,5;9,6;8,3;7,8;8,1;6,9
"RKP";.;.;.;.;.;.;.;.;.;0,1;0,3
"KD";5,0;2,6;2,9;2,6;4,6;6,1;6,2;5,0;4,9;5,7;5,5
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
