"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP04 Satakunnan vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";22,9;24,9;20,0;18,9;22,1;16,8;21,5;17,6;15,0;14,1;17,0
"PS";11,7;8,6;6,6;2,2;0,7;1,5;5,2;23,6;25,0;24,1;26,6
"SDP";28,3;25,9;26,6;33,2;27,9;29,7;29,5;24,0;22,6;25,2;24,6
"KESK";16,7;16,6;24,1;20,9;23,7;28,1;24,7;16,1;20,6;16,7;13,9
"VIHR";.;2,8;4,3;3,1;3,3;3,5;3,5;3,8;2,7;6,0;2,7
"VAS";17,2;14,0;13,7;14,6;15,4;15,0;12,0;10,9;9,6;10,0;8,3
"RKP";.;.;.;.;.;.;.;.;0,3;0,1;0,3
"KD";3,0;2,0;3,0;3,4;4,8;4,6;2,4;3,4;2,9;2,7;3,2
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
