"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP09 Savo-Karjalan vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";.;.;.;.;.;.;.;.;11,5;12,5;16,4
"PS";.;.;.;.;.;.;.;.;19,7;18,1;20,0
"SDP";.;.;.;.;.;.;.;.;16,0;17,3;19,1
"KESK";.;.;.;.;.;.;.;.;32,5;22,8;19,7
"VIHR";.;.;.;.;.;.;.;.;6,7;9,6;5,7
"VAS";.;.;.;.;.;.;.;.;5,9;7,2;5,5
"RKP";.;.;.;.;.;.;.;.;.;0,0;0,1
"KD";.;.;.;.;.;.;.;.;6,3;7,8;9,8
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
