"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP02 Uudenmaan vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";25,1;26,6;23,5;19,5;25,3;23,4;28,7;28,4;24,0;20,9;26,2
"PS";7,3;4,0;2,8;0,4;0,4;1,2;6,0;18,8;18,0;15,9;18,2
"SDP";30,6;27,0;22,5;31,4;22,6;25,6;20,2;19,3;16,6;17,8;19,9
"KESK";7,2;6,4;12,2;7,7;10,7;13,5;12,4;6,4;11,5;6,5;4,8
"VIHR";.;5,7;9,8;8,1;10,4;10,5;10,9;9,1;10,0;13,5;7,6
"VAS";11,8;7,3;8,0;9,3;9,4;9,1;6,7;5,1;4,4;4,8;4,6
"RKP";12,0;12,7;14,4;12,3;11,3;10,3;9,5;8,3;10,2;9,1;8,7
"KD";2,1;2,1;2,2;1,8;2,6;3,6;4,1;2,8;2,6;2,7;3,5
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
