"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP10 Vaasan vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";17,3;17,1;12,8;11,4;13,8;11,5;14,1;14,1;11,9;11,8;14,2
"PS";7,5;5,6;5,7;3,0;4,7;4,6;6,0;17,2;15,9;17,1;21,3
"SDP";17,4;15,3;14,4;17,9;14,7;15,8;12,7;14,0;11,8;13,4;11,7
"KESK";26,4;27,2;33,9;33,0;31,7;33,9;32,5;22,6;27,4;19,9;17,9
"VIHR";.;1,3;2,6;2,6;2,1;2,4;1,5;1,4;2,5;4,2;2,7
"VAS";9,1;5,9;5,7;5,9;4,8;4,4;4,7;3,7;2,9;3,3;2,4
"RKP";18,5;20,8;20,1;19,9;20,7;18,6;20,6;19,4;20,7;21,1;19,3
"KD";3,5;2,6;3,5;3,8;5,5;7,8;7,0;6,6;5,7;6,7;6,9
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
