"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP03 Varsinais-Suomen vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";23,4;25,3;22,2;23,3;27,1;26,1;27,4;23,0;21,0;18,9;23,0
"PS";13,7;8,9;6,4;1,1;0,2;0,3;2,5;18,1;19,3;19,1;20,0
"SDP";24,9;22,6;22,8;27,6;23,4;24,7;21,8;19,6;15,5;17,8;18,1
"KESK";12,9;14,6;22,9;15,0;16,9;17,5;15,8;11,6;16,2;10,8;8,4
"VIHR";.;2,6;4,8;5,8;7,7;8,6;9,4;7,3;8,7;9,2;7,0
"VAS";14,9;9,9;11,2;13,3;11,9;10,7;10,6;9,6;10,3;12,8;11,6
"RKP";5,3;6,4;5,3;4,5;5,0;5,3;5,5;5,5;5,0;5,5;4,9
"KD";2,9;1,8;2,0;1,9;2,3;3,9;4,7;2,9;2,4;1,9;2,8
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;
